occasion,occasion_en,description,use_hint,keyword1,keyword2,keyword3,keyword4,keyword5
피크닉,Picnic,야외에서 가볍게 즐기는 상황(휴대·캐주얼·상쾌함을 선호).,Appetizer,야외,가볍게,시원하게,휴대,캐주얼
파티,Party,여럿이 모여 분위기를 내며 마시는 상황(환영·건배·가벼운 페어링).,Appetizer,모임,건배,분위기,축하,스파클링
혼술,Solo,혼자 편하게 마시는 상황(부담 적고 밸런스 좋은 스타일 선호).,Table,혼자,편하게,부담없이,잔술,힐링
데이트,Date,대화와 분위기를 중시하는 상황(부드러움·균형·향 중심).,Table,분위기,로맨틱,대화,부드러운,향
데일리,Daily,일상적으로 자주 마시는 상황(가성비·밸런스·범용성).,Table,매일,가성비,밸런스,무난한,기본
행사,Event,공식/비공식 행사에서 다수에게 제공하는 상황(대중성·안정감·수급 용이).,Table,대량,무난한,호불호적음,선물용,행사
선물,Gift,누군가에게 주는 상황(이야깃거리·브랜드·포장/인지도).,Table,선물,기념,고급,브랜드,패키지
안주없이,No Food,음식 없이 단독으로 즐기는 상황(밸런스·산도·탄닌 부담 낮음).,Appetizer,단독,그냥,가볍게,깔끔,목넘김
첫잔,First Glass,식전/시작에 입맛을 여는 상황(상쾌함·산도·가벼움).,Appetizer,식전,시작,상쾌,산도,가벼움
마무리,Finish,하루/식사의 마무리 상황(여운·부드러움·달콤함 가능).,Dessert,마무리,여운,식후,디저트,부드럽게
대화용,Conversation,대화 중심으로 천천히 즐기는 상황(과하지 않고 향/균형).,Table,대화,천천히,잔잔하게,향,편안
집중음용,Meditation,소량으로 집중해 음미하는 상황(특이성·개성·학습/테이스팅).,ETC,테이스팅,집중,개성,특이한,소량
