id,name(EN),name(KR),producer,nation,local,varieties,type,use,abv,degree,sweet,acidity,body,tannin,price,year,ml,in stock(재고수량),Vivino 평점,한줄요약,참고사항,상세설명,테이스팅 노트,페어링 정보,occasion,Occasion_Tags,Occasion_Struct,sample_group
ta001,Vignobles JeanJean Pays d'Oc IGP (Languedoc‑Roussillon) Merlot 2020,셰프의 추천 2020,Vignobles JeanJean,France,Pays d'Oc IGP (Languedoc‑Roussillon),Merlot  ,RED,Table,13,,1,2,3,3,25000,2020,750,30,3.8,France 현지 셰프들의 추천 와인 ★3.8,랑그독 루시용 대표 생산자의 가성비 와인 | EN명:자동생성 | Vivino:표기(있을때만),France 현지 셰프들이 추천하는 랑그독 루시용 대표 생산자의 가성비 국민 와인 (Vivino 평점 3.8).Merlot   특유의 섬세하고 부드러운 맛이 특징. 육류와 함께  곁들였을 때 한층 음식의 맛을 업그레이드 시켜준다.,"평점(Vivino): 3.8
블랙 체리·자두 향, 코코아·오크 힌트, 미디엄 바디, 부드러운 탄닌, 긴 여운","구운 고기, 치즈 플래터",데일리|대화용,데일리|대화용,"{""people"": ""Solo"", ""place"": ""Home"", ""purpose"": ""Relax"", ""mood_intensity"": ""Standard"", ""timing"": ""With-meal""}",rep
ta002,LGI Pays d'Oc IGP (Languedoc‑Roussillon) Cabernet-Sauvignon 2023,라 풀 (LA FOULE) 2023,LGI,France,Pays d'Oc IGP (Languedoc‑Roussillon),Cabernet-Sauvignon    ,RED,Table,13.5,,1,3,4,2,32000,2023,750,10,3.8,France의 초상화 같은 와인 ★3.8,편하게 즐기는 남부 프리미엄 와인 | EN명:자동생성 | Vivino:표기(있을때만),"Edith Piaf가 부른 원곡 "" La Foule""에 영감을 받아 만든 와인 (Vivino 평점 3.8). 진한 루비색과 잘 익은 건포도, 블랙 베리 , France의 초상화 같은 와인, 편하게 즐기는 남부 프리미엄 와인","평점(Vivino): 3.8
블랙커런트·라즈베리, 스파이스와 오크 터치, 풀 바디, 탄탄한 구조감","스테이크, 진한 소스 요리",데일리|대화용,데일리|대화용,"{""people"": ""Solo"", ""place"": ""Home"", ""purpose"": ""Relax"", ""mood_intensity"": ""Standard"", ""timing"": ""With-meal""}",rep
ta003,LGI Pays d'Oc IGP (Languedoc‑Roussillon) Chardonnay 2023,라 풀 (LA FOULE) 2023,LGI,France,Pays d'Oc IGP (Languedoc‑Roussillon),Chardonnay,WHITE,Table,13.5,,1,3,3,0,32000,2023,750,20,3.7,France의 초상화 같은 와인 ★3.7,편하게 즐기는 남부 프리미엄 와인 | EN명:자동생성 | Vivino:표기(있을때만),"(Vivino 평점 3.7) 진하고 밝은 금 빛, 가벼운 바닐라 향, 편하게 즐기는 남부 프리미엄 와인, France의 초상화 같은 와인","평점(Vivino): 3.7
사과·배·복숭아, 크리미한 버터·토스트, 산미와 밸런스","해산물, 크림 파스타",데일리|혼술|데이트|안주없이,데일리|혼술|데이트|안주없이,"{""people"": ""Couple"", ""place"": ""Restaurant"", ""purpose"": ""Relax"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta004,Feudo Arancio Sicilia DOC Cabernet-Sauvignon 2022,페우도 아란치오 2022,Feudo Arancio,Italy,Sicilia DOC,Cabernet-Sauvignon    ,RED,Table,13.5,,1,3,3.5,3,32000,2022,750,5,3.6,(2종)시칠리아 최고의 포트폴리오 ★3.6,세계적인 와인 메이커 페우도 아란치오 | EN명:자동생성 | Vivino:표기(있을때만),"시칠리아의 강한 햇살을 장점으로 승화시킨 와인 메이킹 (Vivino 평점 3.6). 시칠리아 최고의 포트폴리오,  블랙 커런트, 나무 향, 향신료, 풀바디","평점(Vivino): 3.6
블랙 체리·다크 베리, 바닐라·초콜릿, 오크 숙성 노트, 묵직한 바디","양고기, 진한 파스타",데일리|대화용,데일리|대화용,"{""people"": ""Solo"", ""place"": ""Home"", ""purpose"": ""Relax"", ""mood_intensity"": ""Standard"", ""timing"": ""With-meal""}",rep
ta005,Feudo Arancio Sicilia DOC Chardonnay 2023,페우도 아란치오 2023,Feudo Arancio,Italy,Sicilia DOC,Chardonnay,WHITE,Table,13.5,,1,3,3,0,32000,2023,750,3,3.5,시칠리아 최고의 조합 ★3.5,세계적인 와인 메이커 페우도 아란치오 | EN명:자동생성 | Vivino:표기(있을때만),"(Vivino 평점 3.5) 열대과일 바닐라 향, 산미의 밸런스가 뛰어남, 시칠리아 최고의 조합","평점(Vivino): 3.5
살구·복숭아, 꿀·버터 터치, 드라이하고 부드러운 질감","치킨, 흰살 생선",데일리|혼술|데이트|안주없이,데일리|혼술|데이트|안주없이,"{""people"": ""Couple"", ""place"": ""Restaurant"", ""purpose"": ""Relax"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta006,Cusumano Terre Siciliane IGT (Sicilia) Syrah&Shiraz 2020,쿠수마노 2020,Cusumano,Italy,Terre Siciliane IGT (Sicilia),Syrah&Shiraz,RED,Table,14.5,,1,3,3,3,32000,2020,750,40,3.7,토양에 뿌리를 둔 와인 ★3.7,James Suckling 91 | EN명:자동생성 | Vivino:표기(있을때만),"(Vivino 평점 3.7) 자두, 블랙 베리, 블루 베리, 은은한 스모크 향, 민트향 신선한 과즙과 부드러운 탄닌의 미디엄 바디 와인","평점(Vivino): 3.7
후추·검은 베리, 자두·스모크, 강한 바디","바비큐, 구운 고기",데일리|대화용,데일리|대화용,"{""people"": ""Solo"", ""place"": ""Home"", ""purpose"": ""Relax"", ""mood_intensity"": ""Standard"", ""timing"": ""With-meal""}",rep
ta007,Cusumano Terre Siciliane IGT (Sicilia) Inzolia 2021,쿠수마노 2021,Cusumano,Italy,Terre Siciliane IGT (Sicilia),Inzolia,WHITE,Table,12.5,,1,3,3,0,32000,2021,750,100,, 토양에 뿌리를 둔 와인,James Suckling 91 | EN명:자동생성,"흰 꽃향, 감귤류, 열대 과일과 향신료 향","시트러스·허니듀 멜론, 감귤 껍질·미네랄, 상큼한 산미","샐러드, 해산물",데일리|혼술|데이트|안주없이,데일리|혼술|데이트|안주없이,"{""people"": ""Couple"", ""place"": ""Restaurant"", ""purpose"": ""Relax"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta008,San Pedro Central Valley Cabernet-Sauvignon 2023,아우란틴 2023,San Pedro,Chile,Central Valley,Cabernet-Sauvignon    ,RED,Table,13,,1,3,2,3,27000,2023,750,200,,편안한 신대륙의 레드와인,와인 초보자에게도 친근한 와인 | EN명:자동생성,"센트럴 밸리의 프리미엄 지역인 콜차구아에서 수확한  대중적이면서도 높은 퍼포먼스로 평가받는 와인. 퍼플 컬러, 블루베리, 제비꽃 향, 와인 초보자에게도 친근한 와인","블랙 체리·커런트, 스파이스·오크 터치, 중간~강한 바디","소고기 스튜, 양고기",데일리|대화용,데일리|대화용,"{""people"": ""Solo"", ""place"": ""Home"", ""purpose"": ""Relax"", ""mood_intensity"": ""Standard"", ""timing"": ""With-meal""}",rep
ta009,San Pedro Central Valley Chardonnay 2023,아우란틴 2023,San Pedro,Chile,Central Valley,Chardonnay,WHITE,Table,12.5,,1,3,2,0,27000,2023,750,30,,편안한 신대륙의 레드와인,와인 초보자에게도 친근한 와인 | EN명:자동생성,"오렌지, 라임, 레몬의 시트러스 풍미","배·사과·복숭아, 버터·토스트, 드라이·부드러운 피니시","로브스터, 크림 소스",데일리|혼술|데이트|안주없이,데일리|혼술|데이트|안주없이,"{""people"": ""Couple"", ""place"": ""Restaurant"", ""purpose"": ""Relax"", ""mood_intensity"": ""Light"", ""timing"": ""Pre-meal""}",rep
ta010,J. Bouchon Maule Valley Cabernet-Sauvignon 2022,부숑 리제르바 2022,J. Bouchon,Chile,Maule Valley,Cabernet-Sauvignon    ,RED,Table,14,,1,3,3,3,32000,2022,750,10,3.8,150년 전통의 와이너리 ★3.8,VIVINO 3.8 | EN명:자동생성 | Vivino:표기(있을때만),(Vivino 평점 3.8) Chile의 대표 품종인 Cabernet-Sauvignon    의 아로마가 균형을 이루며 좋은 바디감을 보여주는 와인,"평점(Vivino): 3.8
블랙베리·블루베리, 나무향·스파이스, 실키한 탄닌","그릴 요리, 치즈",데일리|대화용,데일리|대화용,"{""people"": ""Solo"", ""place"": ""Home"", ""purpose"": ""Relax"", ""mood_intensity"": ""Standard"", ""timing"": ""With-meal""}",rep
